customer_id,company_name
ALFKI,Alfreds Futterkiste
ANATR,Ana Trujillo Emparedados y helados
ANTON,Antonio Moreno Taquería
AROUT,Around the Horn
BERGS,Berglunds snabbköp
BLAUS,Blauer See Delikatessen
BLONP,Blondesddsl père et fils
BOLID,Bólido Comidas preparadas
BONAP,Bon app'
BOTTM,Bottom-Dollar Markets
BSBEV,B's Beverages
CACTU,Cactus Comidas para llevar
CENTC,Centro comercial Moctezuma
CHOPS,Chop-suey Chinese
COMMI,Comércio Mineiro
CONSH,Consolidated Holdings
DRACD,Drachenblut Delikatessen
DUMON,Du monde entier
EASTC,Eastern Connection
ERNSH,Ernst Handel
FAMIA,Familia Arquibaldo
FISSA,FISSA Fabrica Inter. Salchichas S.A.
FOLIG,Folies gourmandes
FOLKO,Folk och fä HB
FRANK,Frankenversand
FRANR,France restauration
FRANS,Franchi S.p.A.
FURIB,Furia Bacalhau e Frutos do Mar
GALED,Galería del gastrónomo
GODOS,Godos Cocina Típica
GOURL,Gourmet Lanchonetes
GREAL,Great Lakes Food Market
GROSR,GROSELLA-Restaurante
HANAR,Hanari Carnes
HILAA,HILARION-Abastos
HUNGC,Hungry Coyote Import Store
HUNGO,Hungry Owl All-Night Grocers
ISLAT,Island Trading
KOENE,Königlich Essen
LACOR,La corne d'abondance
LAMAI,La maison d'Asie
LAUGB,Laughing Bacchus Wine Cellars
LAZYK,Lazy K Kountry Store
LEHMS,Lehmanns Marktstand
LETSS,Let's Stop N Shop
LILAS,LILA-Supermercado
LINOD,LINO-Delicateses
LONEP,Lonesome Pine Restaurant
MAGAA,Magazzini Alimentari Riuniti
MAISD,Maison Dewey
MEREP,Mère Paillarde
MORGK,Morgenstern Gesundkost
NORTS,North/South
OCEAN,Océano Atlántico Ltda.
OLDWO,Old World Delicatessen
OTTIK,Ottilies Käseladen
PARIS,Paris spécialités
PERIC,Pericles Comidas clásicas
PICCO,Piccolo und mehr
PRINI,Princesa Isabel Vinhos
QUEDE,Que Delícia
QUEEN,Queen Cozinha
QUICK,QUICK-Stop
RANCH,Rancho grande
RATTC,Rattlesnake Canyon Grocery
REGGC,Reggiani Caseifici
RICAR,Ricardo Adocicados
RICSU,Richter Supermarkt
ROMEY,Romero y tomillo
SANTG,Santé Gourmet
SAVEA,Save-a-lot Markets
SEVES,Seven Seas Imports
SIMOB,Simons bistro
SPECD,Spécialités du monde
SPLIR,Split Rail Beer & Ale
SUPRD,Suprêmes délices
THEBI,The Big Cheese
THECR,The Cracker Box
TOMSP,Toms Spezialitäten
TORTU,Tortuga Restaurante
TRADH,Tradição Hipermercados
TRAIH,Trail's Head Gourmet Provisioners
VAFFE,Vaffeljernet
VICTE,Victuailles en stock
VINET,Vins et alcools Chevalier
WANDK,Die Wandernde Kuh
WARTH,Wartian Herkku
WELLI,Wellington Importadora
WHITC,White Clover Markets
WILMK,Wilman Kala
WOLZA,Wolski  Zajazd
